metric,value
veljavni_status6_brez_test,268
veljavni_z_razreseno_kodo,267
unikatni_udelezenci,82
4_ali_7_mestni_vnosi_med_veljavnimi,25
8_mestni_pravilni_vnosi_med_veljavnimi,242
