recnum,b_raven,b_spol,b_nacionalnost,b_komunikacijske,b_utezi_dejavnikov,b_drugo,b_brez_pripombe,b_neuporaben,a_raven,a_spol,a_nacionalnost,a_komunikacijske,a_utezi_dejavnikov,a_drugo,a_brez_pripombe,a_neuporaben
137,2,1,1,1,1,0,0,0,0.0,0,0,0,0,0,1,0
138,3,1,1,1,1,0,0,0,3.0,0,0,0,1,1,0,0
139,3,1,1,0,1,1,0,0,0.0,0,0,1,1,1,0,0
140,2,1,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0
146,2,0,0,0,0,0,0,1,1.0,0,0,0,0,1,0,0
147,2,1,0,1,0,0,0,0,0.0,0,0,1,1,1,1,0
148,3,0,0,0,1,1,0,0,0.0,0,0,0,0,0,1,1
150,2,1,1,0,0,0,0,0,2.0,0,0,0,0,0,0,0
152,2,1,1,1,0,0,0,0,3.0,0,1,0,0,1,0,0
153,2,1,1,1,0,0,0,0,3.0,0,0,0,1,1,0,0
154,2,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0
155,2,1,0,0,0,0,0,0,3.0,0,0,0,1,1,0,0
157,2,1,1,0,0,0,0,0,1.0,0,0,0,1,1,0,0
158,3,1,1,0,0,0,0,0,2.0,0,0,0,1,1,0,0
159,2,1,0,0,1,0,0,0,0.0,0,0,1,1,1,0,0
160,2,1,1,0,1,0,0,0,2.0,0,1,0,0,1,0,0
161,2,1,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0
162,2,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0
163,2,1,0,0,1,0,0,0,2.0,0,1,1,1,1,0,0
164,2,1,1,0,0,0,0,0,2.0,0,1,0,1,0,0,0
165,2,1,1,0,1,0,0,0,3.0,0,0,0,1,1,0,0
166,1,1,1,0,0,0,0,0,3.0,0,0,0,0,1,0,0
167,2,1,0,0,1,0,0,0,3.0,0,0,0,1,1,0,0
168,2,1,1,1,1,0,0,0,3.0,0,1,1,0,1,0,0
169,3,1,1,1,1,1,0,0,3.0,0,0,1,1,1,0,0
171,2,0,0,0,0,0,0,0,1.0,0,0,1,0,1,0,0
172,2,1,1,0,0,0,0,0,0.0,0,0,0,1,1,0,0
