iso_year,iso_week,valid_rows,unique_participants,date_min,date_max
2026,10,29,29,2026-03-04,2026-03-04
2026,11,60,57,2026-03-09,2026-03-12
2026,12,59,58,2026-03-16,2026-03-18
2026,13,47,47,2026-03-23,2026-03-26
2026,14,60,60,2026-03-30,2026-04-02
2026,15,11,11,2026-04-09,2026-04-09
